Last Updated: 7/7/2026 2:06:00 AM
PRODUCT	INCI	PRODUCT_ID
Ayurvedic Extract: Saffron	Crocos Sativus (Saffron) Extract	ayrextsaffronliqin408
Ayurvedic Extract: Shikakai Pod	Acacia Concinna (Shikakai Pod) Extract	ayrextshikakailiqin408
Ayurvedic Extract: Soapnut	Sapindus Trifoliatus (Soapnut) Extract	ayrextsoapnutliqin408
Ayurvedic Extract: Turmeric	Curcuma Longa (Turmeric) Extract	ayrextturmericliqin408
Ayurvedic Herb: Albizzia Lebbeck Dry Extract	Albizzia Lebbeck Dry Extract	ayurherbaibiz
Ayurvedic Herb: Albizzia Lebbeck Liquid Extract	Albizzia Lebbeck Liquid Extract	ayurextalbiz
Ayurvedic Herb: Amla Powder	Emblica Officinalis (Amla) Fruit Powder	herbamlapwdin408
Ayurvedic Herb: Aritha Powder (Soapnut)	Sapindus Laurifolia (Aritha) Fruit Powder	herbarithain408
Ayurvedic Herb: Aritha Powder (Soapnut)	Sapindus Laurifolia (Aritha) Fruit Powder	herbarithain408_ir
Ayurvedic Herb: Bacopa Monnieri Powder	Bacopa Monnieri Powder	ayurherbbacop
Ayurvedic Herb: Bhringraj Powder	Eclipta Alba (Bhringraj) Powder	ayurherbbhringraj
Ayurvedic Herb: Bhumiamla Dry Extract	Phyllanthus Niruri (Bhumiamla) Dry Extract	ayurherbbhumi
Ayurvedic Herb: Centella Asiatica Standardized Dry Extract	Centella Asiatica Standardized Dry Extract	ayurherbcente
Ayurvedic Herb: Embelia Ribes Seed Powder	Embelia Ribes Seed Powder	ayurherbembel
Ayurvedic Herb: Gudmar Dry Extract	Gymnema Sylvestre (Gudmar) Dry Extract	ayurherbgudmar
Ayurvedic Herb: Guduchi Dry Extract	Tinospora Cordifolia (Guduchi) Dry Extract	ayurherbguduc
Ayurvedic Herb: Henna Leaf Powder	Lawsonia inermis (Henna) Leaf Powder	herbhenna
Ayurvedic Herb: Hibiscus Petal Powder	Hibiscus Rosa Sinensis Linn (Hibiscus) Petal Powder	herbhibispwdin408
Ayurvedic Herb: Hibiscus Petal Powder	Hibiscus Rosa Sinensis Linn (Hibiscus) Petal Powder	herbhibispwdin408_ir
Ayurvedic Herb: Methi Dry Extract	Trigonella Foenum-Graecum (Methi) Seed Dry Extract	ayurherbmethi
Ayurvedic Herb: Neem Powder	Azadirachta Indica (Neem) Leaf Powder	herbneempwdin408
Ayurvedic Herb: Neem Powder	Azadirachta Indica (Neem) Leaf Powder	herbneempwdin408_ir
Ayurvedic Herb: Ocimum Sanctum Dry Extract	Ocimum Sanctum Dry Extract	ayurherbocimu
Ayurvedic Herb: Ocimum Sanctum Liquid Extract	Ocimum Sanctum Liquid Extract	ayurextocimu
Ayurvedic Herb: Phyllanthus Niruri Dry Extract	Phyllanthus Niruri Dry Extract	ayurherbphyll
Ayurvedic Herb: Piper Longum Dry Extract	Piper Longum Dry Extract	ayurherbpiper
Ayurvedic Herb: Piper Nigrum Dry Extract	Piper Nigrum Dry Extract	ayurherbpipnig
Ayurvedic Herb: Pushkermool Powder	Inula Racemosa (Pushkermool) Root Powder	ayurherbpushk
Ayurvedic Herb: Rose Petal Powder	Rosa Centifolia (Rose) Petal Powder	herbroseptpwdin408
Ayurvedic Herb: Rose Petal Powder	Rosa Centifolia (Rose) Petal Powder	herbroseptpwdin408_ir
Ayurvedic Herb: Sandalwood, Red Powder	Pterocarpus santalinus (Sandalwood) Wood Powder	ayurherbsandred
Ayurvedic Herb: Sandalwood, Yellow Powder	Santalum album (Sandalwood) Wood Powder	ayurherbsandalyell
Ayurvedic Herb: Saraca Indica Bark Dry Extract	Sarace Indica Bark Dry Extract	ayurherbsarac
Ayurvedic Herb: Saunf Dry Extract	Feoniculum Vulgare (Saunf) Dry Extract	ayurherbsaunf
Ayurvedic Herb: Shatavari Dry Extract	Asparagus Racemosus (Shatavari) Dry Extract	ayurherbshtvri
Ayurvedic Herb: Shikakai Powder	Acacia Concinna (Shikakai) Fruit Powder	herbshikpwdin408
Ayurvedic Herb: Shikakai Powder	Acacia Concinna (Shikakai) Fruit Powder	herbshikpwdin408_ir
Ayurvedic Herb: Tephrosia Purpurea Dry Extract	Sarpunakha Mool (Tephrosia Purpurea) Dry Extract	ayurherbtephr
Ayurvedic Herb: Terminalia Arjuna Bark Dry Extract	Terminalia Arjuna Bark Dry Extract	ayurherbtermi
Ayurvedic Herb: Terminalia Belerica Fruit Dry Extract	Terminalia Belerica Fruit Dry Extract	ayurherbbeler
Ayurvedic Herb: Terminalia Chebula Extract	Terminalia Chebula Extract	ayurherbchebu
Ayurvedic Herb: Triphala Powder	Terminalia chebula (Haritake) Fruit Powder, Emblica Officinalis (Amla) Fruit Powder, Terminalia belerica (Bibitake)	ayurherbtriphala
Ayurvedic Herb: Turmeric Powder	Curcuma Longa (Turmeric) Root Powder	herbtumerpwdin16
Ayurvedic Herb: Turmeric Powder	Curcuma Longa (Turmeric) Root Powder	herbtumerpwdin360
Ayurvedic Herb: Turmeric Powder	Curcuma Longa (Turmeric) Root Powder	herbturmpwdin100
Ayurvedic Herb: Vijaysar Dry Extract	Pterocarpus Marsupium (Vijaysar) Dry Extract	ayurherbvijay
Ayurvedic Herb: Zingiber Officinale Standardized Dry Extract	Zingiber Officinale Standardized Dry Extract	ayurherbzingi
Ayurvedic Oil: Amla (Unscented)	Sesamum Indicum (Sesame) Seed Oil, Emblica Officinalis Fruit Extract	ayuroilamla
Ayurvedic Oil: Brahmi	Sesamum indicum (Sesame) Seed Oil (and) Centella asiatica (Brahmi) Extract	ayuroilbrahmi
Ayurvedic Oil: Chandanbala Laxadi	Sesamum indicum Seed Oil, Sida Cordifolia, Santalum album, Abrus precatorius, Vetiveria zizanioides, Cyperus rotundus, Elettaria cardamomum, Cinnamomum zeylanicum, Glycyrrhiza glabra and Centella asiatica	oilchandbalalax
Ayurvedic Oil: Hair Blend	Sesamum indicum (Sesame) Seed Oil, Tribulus terrestris, Trigonella foenum, Eclipa alba, Jatamansi nardostachys, Hedychium spicatum	oilayurhair
Ayurvedic Oil: Kapha	Sesamum indicum (Sesame) Seed Oil, Curcuma longa (Turmeric), Cedrus atlantica (Cedarwood), Hedychium Spicatum (Ginger Lily), Aquilaria agallocha (Agarwood). Santalum album (Sandalwood), Cinnamomum Zeylanicum (Cinnamon Bark)	oilkapha
Ayurvedic Oil: Pitta	Sesamum indicum (Sesame) Seed Oil, Cyperus rotundus (Nagarmotha), Rose, Geranium, Tylophora Indica (Anantmul), Myristica fragrans (Nutmeg), Cymbopogon martini (Palmarosa) and Vetiveria zizanioides (Vetiver)	oilpitta
Ayurvedic Oil: Punarnavadi	Sesamum indicum (Sesame) Seed Oil, Boerhaavia diffusa Extract, Cyperus rotundus Extract, Cinnamomum zeylanicum Extract, Hemidesmus indicus Extract and Tribulus terrestris Extract	oilpuna
Ayurvedic Oil: Shankhapushpi	Sesamum indicum (Sesame) Seed Oil and Convolvulus pluricaulis (Shankhpushpi)	oilshankpush
Ayurvedic Oil: Vata	Sesamum indicum (Sesame) Seed Oil, Sida Cordifolia (Bala), Eclipata alba (Bhringraj) and Cymbopogon flexuosus (Lemongrass)	oilvata
Baking Soda	Sodium Bicarbonate	othbaksduspus60
Balsam: Copaiba Balsam	Copaifera Officinalis (Copaiba) Oil	oilcopbalbr243
Base: Liquid Aloe Castille Soap, Organic	Saponified oils of coconut (organic), olive (organic) and jojoba (organic), aloe vera (organic) and rosemary oil extract	orgcastille
Base: Liquid Castile Soap	Saponified oils of Cocos Nucifera (Coconut), Olea Europaea (Olive) and Simmondsia Chinensis (Jojoba) (and) Rosmarinus Officinalis (Rosemary) Extract (and) Aloe Barbadensis Leaf Juice.	othliq
Black Carrot Powder Extract, Water Soluble	Daucus Carota (Black Carrot) Root Juice and Maltodextrin and Citric Acid	ncextblkcarpwdwstr1099
Botanical Extract: Horsetail Oil Soluble (MCT)	Caprylic/Capric Triglyceride; Equisetum Arvense Leaf Extract	exthorsetailosmctus167
Broad Spectrum CBD	Cannabidiol (CBD) from Cannabis Sativa	bscbd70us1042
Butter: Aloe Vera	Cocos Nucifera (Coconut) Oil and Aloe Barbadensis Leaf Extract	butaloeus1013
Butter: Apricot Kernel	Prunus armeniacae (Apricot) Kernel Oil	butaprker
Butter: Avocado	Persea Gratissima (Avocado) Oil and Hydrogenated Vegetable Oil	butavoc
Butter: Babassu	Orbignya oleifera (Babassu) Seed Oil	butbabassu
Butter: Batana, Hand Pressed	Elaeis Oleifera Kernel Oil	butbatanahehn1222
Butter: Cocoa Butter, Deodorized	Theobroma cacao (Cocoa) Seed Butter	butcocoadeodus397
Butter: Cocoa, Pure Prime Pressed	Theobroma Cacao (Cocoa) Seed Butter	butcocoapppid47
Butter: Cocoa, Pure Prime Pressed	Theobroma Cacao (Cocoa) Seed Butter	butcocoapppph47
Butter: Cocoa, Pure Prime Pressed	Theobroma cacao (Cocoa) Seed Butter	butcocoapppxx397
Butter: Cocoa, Pure Prime Pressed	Theobroma cacao (Cocoa) Seed Butter	butcocoaultrfho111
Butter: Cocoa, Pure Prime Pressed	Theobroma cacao (Cocoa) Seed Butter	butcocoa
Butter: Cocoa, Ultra Refined	Theobroma cacao (Cocoa) Seed Butter	butcocoaultra
Butter: Coffee Bean	Hydrogenated Vegetable Oil, Prunus Amygdalus Dulcis (Sweet Almond) Oil, Coffea Arabica (Coffee) Seed Oil	butcoffeeus1013
Butter: Coffee Bean	Hydrogenated Vegetable Oil, Prunus Amygdalus Dulcis (Sweet Almond) Oil, Coffea Arabica (Coffee) Seed Oil	butcoffeeus20
Butter: Cupuacu	Theobroma Grandiflorum (Cupuacu) Seed Butter	butcuprfbr243
Butter: Cupuacu	Theobroma Grandiflorum Seed Butter	butcuprfbr668
Butter: Cupuacu Deodorized	Theobroma Grandiflorum (Cupuacu) Seed Butter	butcupddbr576
Butter: Cupuacu, Refined	Theobroma grandiflorum (Cupuacu) Butter	butcupacuultra
Butter: Cupuacu, Refined	Theobroma grandiflorum (Cupuacu) Butter	butcupultrfus20
Butter: Cupuacu, Ultra Refined	Theobroma grandiflorum (Cupuacu) Butter	butcupultrfbr243
Butter: Hemp Seed	Cannabis sativa Seed Oil (and) Hydrogenated Vegetable Oil	buthemp
Butter: Illipe	Shorea stenoptera (Illipe) Seed Butter	butillipe
Butter: Kokum	Garcinia indica (Kokum) Seed Butter	butkokum
Butter: Macadamia Nut	Macadamia ternifolia Seed Oil (and) Hydrogenated Vegetable Oil	butmac
Butter: Mango	Mangifera indica (Mango) Seed Butter	butmango
Butter: Mango	Mangifera Indica (Mango) Seed Butter	butmangserfdeodin678
Butter: Mochacchino	Coffea Arabica (Coffee) Bean Butter (and) Theobroma Cacao (Cocoa) Seed Butter	butmocha
Butter: Murumuru	Astrocaryum Murumuru Seed Butter	butmuruexpbr243
Butter: Murumuru, Ultra Refined	Astrocaryum Murumuru Seed Butter	butmuruultra
Butter: Nilotica Shea	Butyrospermum Parkii (Shea) Butter	butnilug201
Butter: Nutmeg	Myristic fragrans	butnutmeg
Butter: Olive	Olea europea (Olive) Seed Oil (and) Hydrogenated Vegetable Oil	butolive
Butter: Pistachio Nut	Pistacia Vera Seed Oil (and) Hydrogenated Vegetable Oil	butpist
Butter: Rice Bran	Oryza Sativa (Rice) Bran Oil	butricebrth1022
Butter: Shea, Crushed & Refined	Butyrospermum parkii (Shea Butter) Fruit	butsheaexprfnl111
Butter: Shea, Crushed & Refined	Butyrospermum parkii (Shea Butter) Fruit	butsheaexprfus20
Butter: Shea, Crushed & Refined	Butyrospermum parkii (Shea Butter) Fruit	butsheax
Butter: Shea, Nilotica	Butyrospermum Parkii (Shea) Butter sp. niloticum	butsheaniloexpurfug685
Butter: Shea, Pressed and Refined	Butyrospermum Parkii (Shea Butter) Fruit	butsheaexprfbf431
Butter: Shealoe	Aloe barbadensis Leaf Juice (and) Butyrospermum parkii (Shea Butter) Fruit	butshealoeus101
Butter: Sweet Almond	Prunus amygdalus dulcis (Sweet Almond) Oil (and) Hydrogenated Vegetable Oil	butswalmhydus20
Candle Fragrance Oil: Absolute Tulip BBW Type	Fragrance	cfoabsolutetulip
Candle Fragrance Oil: African Musk	Fragrance	cfoafricanmusk
Candle Fragrance Oil: Almond	Fragrance	cfoalmond
Candle Fragrance Oil: Aloe Vera	Fragrance	cfoaloe
Candle Fragrance Oil: Amaretto	Fragrance	cfoamar
Candle Fragrance Oil: Amazing Grace Philosophy Type	Fragrance	cfoamazgrace
Candle Fragrance Oil: Amber	Fragrance	cfoamber
Candle Fragrance Oil: Amber Romance Victoria's Secret Type	Fragrance	cfoamberrom
Candle Fragrance Oil: Anais Anais Type	Fragrance	cfoanais
Candle Fragrance Oil: Angel Type	Fragrance	cfoangel
Candle Fragrance Oil: Apple	Fragrance	cfoapple
Candle Fragrance Oil: Apple & Rose Yankee Type	Fragrance	cfoappleroseyank
Candle Fragrance Oil: Apple Blossoms	Fragrance	cfoappleblos
Candle Fragrance Oil: Apple Candy	Fragrance	cfoapplecandy
Candle Fragrance Oil: Apple Cinnamon	Fragrance	cfoapplecin
Candle Fragrance Oil: Apple Jack & Peel	Fragrance	cfoapplejack
Candle Fragrance Oil: Apple Spice	Fragrance	cfoapplesp
Candle Fragrance Oil: Apples & Oak	Fragrance	cfoapplesoak
Candle Fragrance Oil: Apples & Oak	Fragrance	cfoappleoak
Candle Fragrance Oil: Apricot	Fragrance	cfoapricot
Candle Fragrance Oil: Apricot & Clove Berries	Fragrance	cfoapricotcloveberry
Candle Fragrance Oil: Apricot & Pear Yankee Type	Fragrance	cfoapricotpear
Candle Fragrance Oil: Apricot Creme	Fragrance	cfoaprcreme
Candle Fragrance Oil: Aqua Reef Old Spice Type	Fragrance	cfoaquareef
Candle Fragrance Oil: Arabian Musk	Fragrance	cfoarabianmusk
Candle Fragrance Oil: Asian Pear	Fragrance	cfoasianpear
Candle Fragrance Oil: Asian Plum Blossom	Fragrance	cfoasianplum
Candle Fragrance Oil: Autumn Woods	Fragrance	cfoautumnwoods
Candle Fragrance Oil: Baby Grace Philosophy Type	Fragrance	cfobabygracephil
Candle Fragrance Oil: Baby Powder J & J Type	Fragrance	cfobabypow
Candle Fragrance Oil: Baby's Room	Fragrance	cfobabysroom
Candle Fragrance Oil: Bamboo Chypre	Fragrance	cfobambchypre
Candle Fragrance Oil: Bamboo Lily	Fragrance	cfobamblily
Candle Fragrance Oil: Bamboo Musk	Fragrance	cfobamboomusk
Candle Fragrance Oil: Banana	Fragrance	cfobanana
Candle Fragrance Oil: Basic Instincts Victoria's Secret Type	Fragrance	cfobasicinstvs
Candle Fragrance Oil: Basil	Fragrance	cfobasil
Candle Fragrance Oil: Basil Nectarine	Fragrance	cfobasilnect
Candle Fragrance Oil: Basil Williams Sonoma Type	Fragrance	cfobasilwstype
Candle Fragrance Oil: Bay Rum	Fragrance	cfobayrum
Candle Fragrance Oil: Bayberry	Fragrance	cfobayber
Candle Fragrance Oil: Be Delicious DKNY Type	Fragrance	cfobedelic
Candle Fragrance Oil: Beach House Type	Fragrance	cfobeachhouse
Candle Fragrance Oil: Bergamot	Fragrance	cfoberga
Candle Fragrance Oil: Bergamot & Coriander	Fragrance	cfobergcoriander
Candle Fragrance Oil: Bergamot & Juniper	Fragrance	cfobergamot
Candle Fragrance Oil: Berries & Cream	Fragrance	cfoberrcr
Candle Fragrance Oil: Birds of Paradise	Fragrance	cfobirdsparadise
Candle Fragrance Oil: Birthday Cake	Fragrance	cfobirthcake
Candle Fragrance Oil: Birthday Cake	Fragrance	cfobrithdaycake
Candle Fragrance Oil: Bittersweet Chocolate	Fragrance	cfobitterchoc
Candle Fragrance Oil: Black Cherry	Fragrance	cfoblcher
Candle Fragrance Oil: Black Licorice	Fragrance	cfoblklicorice
Candle Fragrance Oil: Black Tea	Fragrance	cfoblacktea
Candle Fragrance Oil: Blackberry	Fragrance	cfoblackberry
Candle Fragrance Oil: Blackberry Tea	Fragrance	cfoblackberrytea
Candle Fragrance Oil: Blackcurrant	Fragrance	cfoblackcurrant
Candle Fragrance Oil: Blue Nile	Fragrance	cfobluenile
Candle Fragrance Oil: Blueberry Delight	Fragrance	cfobluedelight
Candle Fragrance Oil: Bobbing For Apples	Fragrance	cfobobbingapples
Candle Fragrance Oil: Bourbon Vanilla Henri Bendel Type	Fragrance	cfobourvanhb
Candle Fragrance Oil: Brazilian Water Lotus	Fragrance	cfobrzwatlot
Candle Fragrance Oil: Brown Sugar	Fragrance	cfobsugar
Candle Fragrance Oil: Bubble Gum	Fragrance	cfobubble
Candle Fragrance Oil: Buttercream	Fragrance	cfobuttercream
Candle Fragrance Oil: Butterfly Hanae Mori Type	Fragrance	cfohanbutter
Candle Fragrance Oil: Butterscotch	Fragrance	cfobutterscotch
Candle Fragrance Oil: Calla Lily	Fragrance	cfocallalily
Candle Fragrance Oil: Calla Lily Yankee Type	Fragrance	cfocallilyank
Candle Fragrance Oil: Candy Corn	Fragrance	cfocandycorn
Candle Fragrance Oil: Cantaloupe	Fragrance	cfocanta
Candle Fragrance Oil: Cappuccino	Fragrance	cfocappuccino
Candle Fragrance Oil: Cappuccino Cream	Fragrance	cfocappcream
Candle Fragrance Oil: Caramel Apple	Fragrance	cfocarapple
Candle Fragrance Oil: Carnation	Fragrance	cfocarna
Candle Fragrance Oil: Carrot Cake	Fragrance	cfocarrotcake
Candle Fragrance Oil: Chai Tea	Fragrance	cfochaitea
Candle Fragrance Oil: Chamomile & Rose Petals	Fragrance	cfochamrose
Candle Fragrance Oil: Chanel No. 5 Type	Fragrance	cfochanel
Candle Fragrance Oil: Cherry Blossom BBW Type	Fragrance	cfocherryblosbbw
Candle Fragrance Oil: China Musk	Fragrance	cfochinam
Candle Fragrance Oil: China Rain	Fragrance	cfochinar
Candle Fragrance Oil: Chinese Peony	Fragrance	cfochinpeony
Candle Fragrance Oil: Chocolovers Aquolina Type	Fragrance	cfochocloveaq
Candle Fragrance Oil: Christmas Pine	Fragrance	cfocpine
Candle Fragrance Oil: Chrysanthemum	Fragrance	cfochrys
Candle Fragrance Oil: Cinnamon	Fragrance	cfocinnamon
Candle Fragrance Oil: Cinnamon & Spruce	Fragrance	cfocspruce
Candle Fragrance Oil: Cinnamon Apple Bayberry	Fragrance	cfocab
Candle Fragrance Oil: CK1 Type	Fragrance	cfotypeck1
Candle Fragrance Oil: Clean Cotton Yankee Type	Fragrance	cfocleancotyank
Candle Fragrance Oil: Clothesline Fresh	Fragrance	cfochothesline
Candle Fragrance Oil: Cloudberry & Willow	Fragrance	cfocloudwillow
Candle Fragrance Oil: Coconut	Fragrance	cfococonut
Candle Fragrance Oil: Coconut Cream	Fragrance	cfocococr
Candle Fragrance Oil: Coconut Lime Verbena BBW	Fragrance	cfococlimeverbbw
Candle Fragrance Oil: Cool Citrus Basil BBW Type	Fragrance	cfocoolcitrus
Candle Fragrance Oil: Cool Water	Fragrance	cfocoolw
Candle Fragrance Oil: Cotton Blossom BBW Type	Fragrance	cfocottonblossom
Candle Fragrance Oil: Cotton Candy	Fragrance	cfocottonc
Candle Fragrance Oil: Cranberry	Fragrance	cfocranberry
Candle Fragrance Oil: Cranberry Peppermint Yankee Type	Fragrance	cfocranpepyank
Candle Fragrance Oil: Cranberry Zinger	Fragrance	cfocranzinger
Candle Fragrance Oil: Cucumber	Fragrance	cfocucum
Candle Fragrance Oil: Cucumber Melon	Fragrance	cfocucumbermelon
Candle Fragrance Oil: Curious Brittany Spears Type	Fragrance	cfocurious
Candle Fragrance Oil: D'Anjou Pear	Fragrance	cfodanjoupear
Candle Fragrance Oil: Daffodil	Fragrance	cfodaffadil
Candle Fragrance Oil: Dandelion	Fragrance	cfodandelion
Candle Fragrance Oil: Dark Chocolate Supreme	Fragrance	cfodarkchocsup
Candle Fragrance Oil: Dark Kiss BBW Type	Fragrance	cfodkkissbbw
Candle Fragrance Oil: Delphinium	Fragrance	cfodelphinium
Candle Fragrance Oil: Dewberry	Fragrance	cfodewberry
Candle Fragrance Oil: Dirt	Fragrance	cfodirt
Candle Fragrance Oil: Dragon's Breath	Fragrance	cfodragon
Candle Fragrance Oil: Drakkar Type	Fragrance	cfodrakkar
Candle Fragrance Oil: Dulce de Leche	Fragrance	cfodulcheleche
Candle Fragrance Oil: Earl Grey Tea	Fragrance	cfoearlgreytea
Candle Fragrance Oil: Easter Cookie	Fragrance	cfoeastercookie
Candle Fragrance Oil: Egg Nog	Fragrance	cfoeggnog
Candle Fragrance Oil: Egyptian Musk	Fragrance	cfoegypt
Candle Fragrance Oil: Enchanted Forest	Fragrance	cfoencfor
Candle Fragrance Oil: English Lavender	Fragrance	cfoenglav
Candle Fragrance Oil: English Pear	Fragrance	cfopengpear
Candle Fragrance Oil: Eternity Type for Men	Fragrance	cfoeternity
Candle Fragrance Oil: Eucalyptus Spearmint BBW Type	Fragrance	cfoeucspearbbw
Candle Fragrance Oil: Eucalyptus Yankee Type	Fragrance	cfoeucyankee
Candle Fragrance Oil: Euphoria Calvin Klein Type	Fragrance	cfoeuphoriack
Candle Fragrance Oil: Evergreen	Fragrance	cfoevergreen
Candle Fragrance Oil: Falling in Love Philosophy Type	Fragrance	cfofalllovephilo
Candle Fragrance Oil: Fig	Fragrance	cfofig
Candle Fragrance Oil: Fig Leaf Henri Bendel Type	Fragrance	cfofigbendel
Candle Fragrance Oil: Flower Type by Kenzo	Fragrance	cfoflowerkenzo
Candle Fragrance Oil: Flowerbomb Type	Fragrance	cfoflowerbomb
Candle Fragrance Oil: Frangipani	Fragrance	cfofrangipani
Candle Fragrance Oil: Frankincense	Fragrance	cfofrankin
Candle Fragrance Oil: Frankincense & Fir	Fragrance	cfofrankfir
Candle Fragrance Oil: Frankincense & Myrrh	Fragrance	cfofandm
Candle Fragrance Oil: Frankincense & Spice	Fragrance	cfofrankspice
Candle Fragrance Oil: Freesia	Fragrance	cfofressia
Candle Fragrance Oil: Freesia Crabtree & Evelyn Type	Fragrance	cfofreesiace
Candle Fragrance Oil: French Vanilla	Fragrance	cfofrenchvanilla
Candle Fragrance Oil: Fresh Apple	Fragrance	cfofreshapple
Candle Fragrance Oil: Fresh Baked Bread	Fragrance	cfofreshbakdbread
Candle Fragrance Oil: Fresh Brewed Coffee	Fragrance	cfofreshbrewcoffee
Candle Fragrance Oil: Fresh Cut Roses Yankee Type	Fragrance	cfofreshroses
Candle Fragrance Oil: Fresh Ginger Lime BBW Type	Fragrance	cfogingerlimebbw
Candle Fragrance Oil: Frosted Ginger	Fragrance	cfofrostging
Candle Fragrance Oil: Fruit Punch	Fragrance	cfofruitpunch
Candle Fragrance Oil: Gardenia	Fragrance	cfogardenia
Candle Fragrance Oil: Gardenia, Tahitian (Tiare)	Fragrance	cfotiaredup
Candle Fragrance Oil: Geranium	Fragrance	cfogeranium
Candle Fragrance Oil: Ginger Lily	Fragrance	cfoglily
Candle Fragrance Oil: Ginger Milk Thymes Type	Fragrance	cfogingmilkthym
Candle Fragrance Oil: Gingerbread	Fragrance	cfoginger
Candle Fragrance Oil: Giorgio Type for Men	Fragrance	cfogiorgio
Candle Fragrance Oil: Goddess Baby Phat Type	Fragrance	cfogoddessbp
Candle Fragrance Oil: Grape	Fragrance	cfogrape
Candle Fragrance Oil: Grapefruit	Fragrance	cfograpef
Candle Fragrance Oil: Green Apple	Fragrance	cfogreenapple
Candle Fragrance Oil: Green Clover & Aloe BBW Type	Fragrance	cfogreenclover
Candle Fragrance Oil: Green Grass	Fragrance	cfogrngrs
Candle Fragrance Oil: Green Tea	Fragrance	cfogreentea
Candle Fragrance Oil: Green Tea Original	Fragrance	cfogreentea2
Candle Fragrance Oil: Guava	Fragrance	cfoguava
Candle Fragrance Oil: Guava Flower	Fragrance	cfoguavaflower
Candle Fragrance Oil: Hawaiian White Ginger	Fragrance	cfohawaiianginger
Candle Fragrance Oil: Heart Strings	Fragrance	cfoheartstrings
Candle Fragrance Oil: Heliotrope	Fragrance	cfoheliot
Candle Fragrance Oil: Hemp	Fragrance	cfohemp
Candle Fragrance Oil: Herbaceous	Fragrance	cfoherbaceaous
Candle Fragrance Oil: Holiday Fruitcake	Fragrance	cfohfruitcake
Candle Fragrance Oil: Holiday Spirit	Fragrance	cfoholidayspirit
Candle Fragrance Oil: Hollyberry	Fragrance	cfohollyberry
Candle Fragrance Oil: Honey	Fragrance	cfohoney
Candle Fragrance Oil: Honey Ginger	Fragrance	cfohoneygibger
Candle Fragrance Oil: Honey Original	Fragrance	cfohoneyorig
Candle Fragrance Oil: Honeysuckle	Fragrance	cfohoneys
Candle Fragrance Oil: Honeysuckle Nectar BBW Type	Fragrance	cfohonnecbbw
